 2017-08-12 11:43:07,261 [P7516/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.6.4 application starting on YURA
 2017-08-12 11:43:07,294 [P7516/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-08-12 11:43:07,303 [P7516/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 9ms)
 2017-08-12 11:43:07,486 [P7516/D2/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2017-08-12 11:43:07,487 [P7516/D2/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2017-08-12 11:43:07,489 [P7516/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2017-08-12 11:43:08,614 [P7516/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 1125ms)
 2017-08-12 11:43:08,614 [P7516/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IApplicationStartupHandler
 2017-08-12 11:43:08,615 [P7516/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IApplicationStartupHandler (took 1ms)
 2017-08-12 11:43:08,785 [P7516/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2017-08-12 11:43:08,786 [P7516/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 0ms)
 2017-08-12 11:43:08,786 [P7516/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-08-12 11:43:08,787 [P7516/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter (took 0ms)
 2017-08-12 11:43:08,788 [P7516/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
